Player;TEAM;GP;MPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;TOV;PF;ORB;DRB;RPG;APG;SPG;BPG;PPG;POS;;
Collin Sexton;CLE;7;28.8;6.9;16.0;.429;0.4;1.9;.231;5.4;7.1;.760;3.3;3.4;0.4;3.1;3.6;3.4;0.9;0.1;19.6;PG;;
Shai Gilgeous-Alexander;LAC;4;27.8;8.2;18.0;.458;0.8;3.0;.250;1.8;2.8;.636;2.2;2.0;0.5;4.2;4.8;4.0;2.2;1.0;19.0;PG;;
De'Anthony Melton;HOU;5;30.0;5.8;15.2;.382;2.4;7.6;.316;2.4;3.6;.667;3.0;3.8;1.4;5.8;7.2;4.0;3.0;0.8;16.4;PG;;
Trae Young;ATL;7;27.1;4.3;14.1;.303;2.1;7.9;.273;4.4;5.7;.775;3.7;3.6;0.7;1.4;2.1;5.7;1.3;0.1;15.1;PG;;
Aaron Holiday;IND;4;30.1;5.2;15.2;.344;1.8;6.0;.292;2.2;3.0;.750;5.5;4.5;1.2;3.8;5.0;6.8;2.8;0.5;14.5;PG;;
Troy Caupain;ORL;5;25.2;5.8;12.6;.460;1.0;5.0;.200;0.8;1.2;.667;2.6;1.8;1.2;4.2;5.4;3.8;0.6;0.2;13.4;PG;;
Brandon Goodwin;MEM;10;21.3;3.9;9.7;.402;1.2;2.9;.414;1.5;2.3;.652;1.8;1.3;0.3;2.3;2.6;3.4;0.8;0.0;10.5;PG;;
Trey Davis;BOS;4;16.6;3.5;8.5;.412;0.5;2.0;.250;2.8;4.0;.688;1.5;1.8;0.5;2.5;3.0;2.5;0.5;0.0;10.2;PG;;
Pierria Henry;BOS;6;23.3;3.8;8.8;.434;0.7;1.7;.400;1.7;2.3;.714;0.8;2.3;0.8;4.0;4.8;4.5;2.2;0.2;10.0;PG;;
Jevon Carter;MEM;10;23.2;4.1;11.5;.357;0.8;3.7;.216;1.0;1.4;.714;2.0;3.7;0.7;3.5;4.2;4.2;1.1;0.3;10.0;PG;;
Devonte' Graham;CHA;3;25.9;3.7;10.0;.367;0.0;4.0;.000;2.7;2.7;1.000;2.3;2.7;0.0;2.7;2.7;6.0;1.0;0.0;10.0;PG;;
Jared Terrell;MIN;5;21.2;4.0;10.0;.400;0.8;4.0;.200;0.4;0.4;1.000;1.4;1.4;0.8;3.2;4.0;1.2;1.2;0.0;9.2;PG;;
Trevon Duval;HOU;5;16.9;2.6;7.2;.361;0.4;1.2;.333;3.6;5.2;.692;2.4;2.0;0.0;1.8;1.8;1.6;0.6;0.2;9.2;PG;;
Jaylen Adams;ATL;7;17.6;3.3;8.4;.390;1.7;4.6;.375;0.7;1.0;.714;1.0;1.9;0.6;2.1;2.7;2.4;1.6;0.1;9.0;PG;;
Travis Trice;MIL;5;23.1;3.8;8.8;.432;1.0;2.2;.455;0.2;0.4;.500;1.4;1.2;0.0;3.2;3.2;4.0;0.8;0.0;8.8;PG;;
Isaiah Briscoe;ORL;3;18.9;3.3;6.7;.500;0.3;1.3;.250;1.7;4.0;.417;2.3;3.0;0.3;2.7;3.0;2.0;1.0;0.0;8.7;PG;;
Scoochie Smith;CLE;7;16.9;2.6;6.6;.391;1.0;2.7;.368;2.1;2.3;.938;0.7;2.1;0.3;2.0;2.3;3.0;1.1;0.3;8.3;PG;;
Jonathan Stark;MIN;5;17.0;3.6;8.8;.409;0.8;3.2;.250;0.2;1.2;.167;1.0;1.6;1.0;1.0;2.0;1.8;1.0;0.0;8.2;PG;;
Trey Lewis;UTA;6;16.4;2.8;6.3;.447;1.8;3.8;.478;0.3;1.3;.250;1.8;1.5;0.8;2.0;2.8;2.5;0.0;0.0;7.8;PG;;
Jeff Ledbetter;SAS;8;17.2;2.4;6.0;.396;1.8;4.8;.368;0.9;0.9;1.000;1.8;2.5;0.1;2.0;2.1;2.8;1.1;0.0;7.4;PG;;
Askia Booker;PHI;6;18.0;2.8;8.3;.340;1.2;4.0;.292;0.5;1.0;.500;1.7;1.8;0.5;3.0;3.5;3.2;0.5;0.3;7.3;PG;;
Manu Lecomte;DAL;4;12.1;2.5;3.8;.667;1.2;2.2;.556;1.0;1.2;.800;2.0;0.8;0.8;0.5;1.2;1.2;0.8;0.0;7.2;PG;;
Jordan McLaughlin;BRK;5;19.7;2.6;7.6;.342;0.8;3.6;.222;1.0;1.8;.556;3.0;0.4;0.0;1.8;1.8;4.2;0.8;0.2;7.0;PG;;
Jairus Lyles;UTA;5;19.3;2.6;7.2;.361;0.8;2.4;.333;0.8;2.2;.364;1.0;1.8;0.6;3.2;3.8;2.6;0.8;0.2;6.8;PG;;
